init_variables.started,init_variables.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instruction_single.started,instruction_single.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,interval.started,interval.stopped,cue_single.started,cue_single.stopped,mask.started,mask.stopped,ori_response_single.started,res_ori,res,ori_response_single.stopped,key_resp_single.keys,key_resp_single.rt,key_resp_single.duration,disp_single.started,disp_single.stopped,key_resp.keys,key_resp.rt,key_resp.duration,single.thisRepN,single.thisTrialN,single.thisN,single.thisIndex,single.ran,ori,path,mask_path,instruction_bandit.started,instruction_bandit.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,cue_bandit.started,cue_bandit.stopped,bandit_res.keys,bandit_res.rt,bandit_res.duration,outcome_bandit.started,rew,action,outcome_bandit.stopped,bandit.thisRepN,bandit.thisTrialN,bandit.thisN,bandit.thisIndex,bandit.ran,actual_rew1,actual_rew2,rew1,rew2,instruction_task.started,instruction_task.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,wait_ready.started,wait_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cue.stopped,ori_response.started,ori_response.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,outcome.started,diff1,diff2,outcome.stopped,disp_outcome_practice.started,disp_outcome_practice.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ori1,ori2,break_blk.started,break_blk.stopped,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,condition_file
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,425.6989,426.6996,,,427.1974,427.4461,,49,49,,,,,,,,,,,,,,,,bars/025.png,bars/mask003.png,,,,,,,,,,,,2,2,,,,,,,2,2,2,3,,,,,,,,,,,426.6996,427.1974,427.4461,430.4639,space,3.0164,,430.4639,56,9,431.4629,431.4629,432.8184,space,1.3471,,0,49,49,49,1,105,40,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.8186,492.8153,0,0,0,3,1,sequence_tables/blk043.csv
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,504.2564,505.2558,,,505.755,506.0008,,145,145,,,,,,,,,,,,,,,,bars/004.png,bars/mask007.png,,,,,,,,,,,,2,2,,,,,,,1,9,1,7,,,,,,492.8157,504.253,space,11.4322,,505.2559,505.755,506.0008,509.1216,space,3.1132,,509.1217,60,20,510.1206,510.1206,510.1211,,,,0,0,0,0,1,25,125,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,510.1213,511.1218,,,511.6193,511.8703,,25,25,,,,,,,,,,,,,,,,bars/008.png,bars/mask004.png,,,,,,,,,,,,1,2,,,,,,,3,7,5,6,,,,,,,,,,,511.1218,511.6193,511.8703,513.4944,space,1.6182,,513.4944,85,25,514.4956,514.4956,514.496,,,,0,1,1,1,1,110,0,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,514.4963,515.4967,,,515.9963,516.2456,,174,174,,,,,,,,,,,,,,,,bars/032.png,bars/mask001.png,,,,,,,,,,,,1,2,,,,,,,5,9,4,9,,,,,,,,,,,515.4967,515.9963,516.2456,518.1809,space,1.9285,,518.1809,49,26,519.1799,519.1799,519.1803,,,,0,2,2,2,1,125,20,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,519.1805,520.181,,,520.6787,520.929,,48,48,,,,,,,,,,,,,,,,bars/036.png,bars/mask007.png,,,,,,,,,,,,1,2,,,,,,,3,7,5,10,,,,,,,,,,,520.1811,520.6787,520.929,524.303,space,3.368,,524.303,83,28,525.3041,525.3041,525.3047,,,,0,3,3,3,1,145,20,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,525.3049,526.3036,,,526.8012,527.0499,,159,159,,,,,,,,,,,,,,,,bars/034.png,bars/mask007.png,,,,,,,,,,,,0,1,,,,,,,1,5,1,4,,,,,,,,,,,526.3036,526.8012,527.0499,528.2636,space,1.2065,,528.2636,34,86,529.2647,529.2647,529.2657,,,,0,4,4,4,1,125,65,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,529.2659,530.2659,,,530.7637,531.0122,,135,-45,,,,,,,,,,,,,,,,bars/023.png,bars/mask000.png,,,,,,,,,,,,0,2,,,,,,,3,3,5,1,,,,,,,,,,,530.2659,530.7636,531.0122,535.187,space,4.166,,535.1871,65,20,536.1881,536.1881,536.1892,,,,0,5,5,5,1,20,115,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,536.1894,537.1861,,,537.6868,537.9355,,122,122,,,,,,,,,,,,,,,,bars/001.png,bars/mask002.png,,,,,,,,,,,,5,1,,,,,,,5,1,7,2,,,,,,,,,,,537.1863,537.6868,537.9355,540.0533,space,2.1057,,540.0533,8,37,541.0545,541.0545,541.0603,,,,0,6,6,6,1,130,85,,,,,,,,
,,6511fd9e06231927b6398700,001,2023-12-14_20h55.16.655,bars,2023.2.3,Win32,166.6666667,,,,,,541.0605,542.0617,,,542.5593,542.8082,,118,118,,,,,,,,,,,,,,,,bars/003.png,bars/mask004.png,,,,,,,,,,,,1,2,,,,,,,3,3,3,3,,,,,,,,,,,542.0618,542.5593,542.8082,545.9817,space,3.1688,,545.9817,87,22,546.9829,546.9829,546.9886,,,,0,7,7,7,1,25,140,,,,,,,,
